"","orthogroup.id","Estimate","SE","z.value","p.value","rep_seq_id"
"108","OG0004006",1.642415841,0.694404014,2.365216513,0.018019533,"17_38220"
"109","OG0008445",1.643227092,1.802557577,0.911608657,0.361974763,"CFBP8591_08110"
"110","OG0006096",1.643360902,1.602060681,1.025779436,0.304995561,"01_22630"
"111","OG0000288",1.643819204,1.446003731,1.136801495,0.255621278,"1311A_07940"
"112","OG0007038",1.643848672,1.667000609,0.986111621,0.324078342,"CFBP7245_19020"
"113","OG0000735",1.644148549,1.298727875,1.265968476,0.205524369,"01_10610"
"114","OG0005180",1.647233742,0.915129948,1.79999982,0.071860667,"01_34320"
"115","OG0004752",1.647429483,0.913556211,1.803314852,0.071338782,"01_29180"
"116","OG0004756",1.647429483,0.913556211,1.803314852,0.071338782,"17_16950"
"117","OG0008183",1.64777793,1.811946676,0.909396481,0.363140879,"BRIP62432_04230"
"118","OG0009537",1.648426075,2.553243514,0.645620391,0.518525229,"CFBP7342_23450"
"119","OG0009538",1.648426075,2.553243514,0.645620391,0.518525229,"CFBP7342_23560"
"120","OG0009539",1.648426075,2.553243514,0.645620391,0.518525229,"CFBP7342_24000"
"121","OG0010324",1.648426075,2.553243514,0.645620391,0.518525229,"DE0062_49930"
"122","OG0006859",1.64876013,1.413391421,1.16652762,0.243401188,"17_10730"
"123","OG0006863",1.651242696,1.469781057,1.12346168,0.261241466,"17_38920"
"124","OG0004325",1.651829053,1.302099396,1.268589064,0.204587667,"3046_33140"
"125","OG0006998",1.655356954,1.448044685,1.143167038,0.252969245,"CFBP1976_36260"
"126","OG0006017",1.656720211,1.625353815,1.019298196,0.30806142,"A2111_21460"
"127","OG0004632",1.657237442,0.919790567,1.801755205,0.071583928,"2768_03880"
"128","OG0003647",1.657484178,0.627150568,2.642880771,0.008220398,"17_27950"
"129","OG0007173",1.65876128,1.611541267,1.029301151,0.303338183,"3058_14820"
"130","OG0005088",1.665518822,0.885485369,1.880910605,0.05998408,"3075_11170"
"131","OG0007437",1.665876678,1.587541139,1.049343942,0.294019848,"F8_01710"
"132","OG0006892",1.666199967,1.505123784,1.107018562,0.268285903,"3307_40370"
"133","OG0006452",1.666774262,1.475165869,1.129889388,0.258522836,"01_32720"
"134","OG0005002",1.668445147,0.93342885,1.787436876,0.073866906,"3140_04540"
"135","OG0007413",1.669368273,1.634618173,1.021258848,0.307131818,"DE0062_00500"
"136","OG0007412",1.670481377,1.635316157,1.021503621,0.307015894,"DE0062_00440"
"137","OG0005950",1.672468929,1.485335711,1.125987154,0.260170957,"01_03170"
"138","OG0006856",1.67537528,1.477615436,1.133837154,0.256862863,"1314C_37340"
"139","OG0003692",1.678564504,0.539588476,3.110823487,0.001865664,"17_40230"
"140","OG0006747",1.67874488,1.418204049,1.183711809,0.236527163,"CFBP1817_11310"
"141","OG0000312",1.68208117,2.097860255,0.801808016,0.422664021,"1311A_04220"
"142","OG0007039",1.68420856,1.702280138,0.989383899,0.322475349,"CFBP7245_34850"
"143","OG0004412",1.690299771,0.75557367,2.237107825,0.025279294,"BRE_17_27310"
"144","OG0005177",1.690829541,0.930710644,1.816708074,0.069261825,"01_22830"
"145","OG0004117",1.690921125,0.923029097,1.831926134,0.066962426,"17_38260"
"146","OG0004335",1.69105103,0.946860018,1.785956738,0.074106263,"01_23280"
"147","OG0003480",1.693195545,0.705100942,2.401351981,0.016334616,"1314C_11690"
"148","OG0005520",1.694434556,1.436974812,1.17916789,0.238331329,"3075_19800"
"149","OG0004795",1.694543521,0.905269667,1.871866012,0.061225143,"3307_27720"
"150","OG0006179",1.696238447,1.333002233,1.272494828,0.203197361,"BP5178_04970"
"151","OG0005893",1.697160174,1.494637954,1.135499182,0.256166224,"A7_21670"
"152","OG0003668",1.698516161,0.797289142,2.130364094,0.033141566,"17_28110"
"153","OG0007068",1.698930761,1.572105612,1.080672156,0.279842973,"CFBP8700_16990"
"154","OG0004716",1.69995503,0.923015088,1.841741324,0.065512996,"01_36120"
"155","OG0004164",1.700400798,0.861838905,1.972991458,0.048496536,"A2111_17160"
"156","OG0004347",1.70097677,1.292980574,1.315547043,0.188326118,"18048_41640"
"157","OG0004721",1.702252808,0.912804841,1.864859533,0.062201096,"2949_03730"
"158","OG0004569",1.706318359,0.915523005,1.863763498,0.062354924,"3307_15510"
"159","OG0006861",1.712118837,1.467115676,1.166996485,0.243211789,"17_38340"
"160","OG0000224",1.712884531,0.942974842,1.81646896,0.069298465,"01_00720"
"161","OG0004452",1.7142346,0.761173567,2.252094231,0.024316318,"3790_12820"
"162","OG0006330",1.715005466,1.471478463,1.165498176,0.243817398,"3307_40410"
"163","OG0005360",1.716623005,1.519463363,1.129756101,0.258579011,"A2111_08950"
"164","OG0004744",1.71893927,0.943164329,1.822523623,0.068375573,"85-10_21770"
"165","OG0004601",1.719978784,0.924079989,1.861287772,0.062703549,"8590_29080"
"166","OG0006990",1.720003036,1.528506011,1.125283789,0.260468797,"CFBP1022_38580"
"167","OG0004076",1.72000735,0.900811794,1.909397015,0.056210896,"18048_04830"
"168","OG0000871",1.720137855,1.273333802,1.350893106,0.176729677,"01_26130"
"169","OG0004731",1.720807545,0.924049285,1.862246498,0.062568353,"3307_30950"
"170","OG0004606",1.724732861,0.931711012,1.851145729,0.064148591,"BRE_17_17610"
"171","OG0001653",1.726252111,1.9682745,0.877038295,0.380465838,"01_14360"
"172","OG0004598",1.726816805,0.932947409,1.850926202,0.064180171,"3307_19380"
"173","OG0004725",1.726816805,0.932947409,1.850926202,0.064180171,"3058_36000"
"174","OG0004726",1.726816805,0.932947409,1.850926202,0.064180171,"3307_00600"
"175","OG0004807",1.726816805,0.932947409,1.850926202,0.064180171,"CFBP1156_19120"
"176","OG0004915",1.726816805,0.932947409,1.850926202,0.064180171,"2949_09100"
"177","OG0005090",1.726816805,0.932947409,1.850926202,0.064180171,"3307_01100"
"178","OG0004714",1.72681687,0.932947422,1.850926246,0.064180164,"01_19440"
"179","OG0006615",1.730216633,1.463969768,1.181866368,0.237258729,"FIJ080_31560"
"180","OG0004386",1.732622631,1.245421325,1.391193966,0.164166617,"01_17630"
"181","OG0000317",1.734249462,1.169572773,1.482805946,0.138125976,"01_24490"
"182","OG0004579",1.738675649,0.900734063,1.93028744,0.053571232,"BRE_17_17570"
"183","OG0006760",1.740594637,1.516623811,1.147677245,0.251101828,"CFBP2533_25330"
"184","OG0004321",1.742406747,0.868066006,2.007228408,0.044725348,"18048_35720"
"185","OG0005776",1.743034419,1.616789392,1.07808378,0.280996369,"3058_04360"
"186","OG0004640",1.744181959,1.429624985,1.220027613,0.222454407,"3307_07120"
"187","OG0008160",1.744916656,2.37590329,0.734422425,0.462691324,"BB151-3_32920"
"188","OG0004455",1.747482298,1.105260384,1.58105938,0.113864461,"01_03960"
"189","OG0005499",1.749644463,1.498985896,1.167218763,0.243122035,"SHQP01_02690"
"190","OG0004707",1.751907062,0.885323299,1.978833116,0.047834799,"AR81009_37000"
"191","OG0003992",1.752390848,0.529459567,3.30977275,0.000933717,"17_10200"
"192","OG0004407",1.753655332,1.262586088,1.388939216,0.164851234,"3640_04580"
"193","OG0004447",1.753655332,1.262586088,1.388939216,0.164851234,"2949_03360"
"194","OG0005625",1.758320086,1.48521766,1.183880406,0.236460407,"AmX2_24040"
"195","OG0004271",1.759605142,1.488269705,1.182316038,0.237080324,"1314C_01560"
"196","OG0006613",1.76061506,1.466212415,1.200791265,0.229832181,"FIJ080_31340"
"197","OG0005827",1.761529696,1.627795269,1.082156786,0.279182867,"BRIP62418_22210"
"198","OG0006804",1.761952696,1.461035443,1.205961638,0.227832282,"CFBP7700_22050"
"199","OG0006602",1.762256955,1.473673326,1.195826052,0.231764447,"D-109_18040"
"200","OG0006991",1.763049219,1.539153548,1.145466755,0.252015859,"CFBP1022_39410"
"201","OG0003440",1.763138095,0.50512169,3.490521456,0.000482079,"01_36720"
"202","OG0006912",1.763447594,1.596756534,1.104393535,0.269422464,"85-10_02200"
