"genes","255531","255527","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"Xanthomonas_OG0011385","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.875"
"Xanthomonas_OG0011812","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.40625"
"Xanthomonas_OG0012259","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.8125"
"Xanthomonas_OG0002462","1","1","150","45","2","1","98.68421052631578","2.1739130434782608","1.6666666666666667","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.21212121212121213"
"Xanthomonas_OG0007088","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0008582","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0009646","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.46875"
"Xanthomonas_OG0010413","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.4375"
"Xanthomonas_OG0011398","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.3125"
"Xanthomonas_OG0011813","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.40625"
"Xanthomonas_OG0012262","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.96875"
"Xanthomonas_OG0004780","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.90625"
"Xanthomonas_OG0007232","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.84375"
"Xanthomonas_OG0008670","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.53125"
"Xanthomonas_OG0009647","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.28125"
"Xanthomonas_OG0010416","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.3125"
"Xanthomonas_OG0011406","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.40625"
"Xanthomonas_OG0011814","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.5"
"Xanthomonas_OG0012303","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0004881","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.53125"
"Xanthomonas_OG0007279","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0008672","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.8125"
"Xanthomonas_OG0009667","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.84375"
"Xanthomonas_OG0010432","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.78125"
"Xanthomonas_OG0011470","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.90625"
"Xanthomonas_OG0011815","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.46875"
"Xanthomonas_OG0012356","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.96875"
"Xanthomonas_OG0004969","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.875"
"Xanthomonas_OG0007280","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0008693","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.46875"
"Xanthomonas_OG0009668","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.875"
"Xanthomonas_OG0010448","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.8125"
"Xanthomonas_OG0011485","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.9375"
"Xanthomonas_OG0011816","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.4375"
"Xanthomonas_OG0012358","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.90625"
"Xanthomonas_OG0005343","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.84375"
"Xanthomonas_OG0007281","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0008699","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.96875"
