gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0011910,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011911,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011912,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011913,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011914,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011915,0.850277035,0.26278283,0.141163678,0,-0.215446825,1,0.877604534,0.301153168,0.132554802,0,-0.153788177,1
Xanthomonas_OG0011916,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011917,0.111990107,-0.275895074,0.772698187,0.137853917,-0.170306343,0.728024647,0.11931229,-0.322409007,0.759779742,0.130753281,-0.122373411,0.740025557
Xanthomonas_OG0011918,0.111990107,-0.275895074,0.772698187,0.137853917,-0.170306343,0.728024647,0.11931229,-0.322409007,0.759779742,0.130753281,-0.122373411,0.740025557
Xanthomonas_OG0011919,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011920,0.282049401,-0.15181434,0.52233677,0,-0.215446825,1,0.292534499,-0.179964167,0.509877092,0,-0.153788177,1
Xanthomonas_OG0011921,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011922,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011923,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011924,0.282049401,-0.15181434,0.52233677,0,-0.215446825,1,0.292534499,-0.179964167,0.509877092,0,-0.153788177,1
Xanthomonas_OG0011925,0.111990107,-0.275895074,0.772698187,0.137853917,-0.170306343,0.728024647,0.11931229,-0.322409007,0.759779742,0.130753281,-0.122373411,0.740025557
Xanthomonas_OG0011926,0.282049401,-0.15181434,0.52233677,0,-0.215446825,1,0.292534499,-0.179964167,0.509877092,0,-0.153788177,1
Xanthomonas_OG0011927,0.565470452,0.05497878,0.271975353,0,-0.215446825,1,0.585069344,0.060594359,0.259974443,0,-0.153788177,1
Xanthomonas_OG0011928,0,-0.35760666,1,0.967574376,0.101386924,0.107752071,0,-0.420522408,1,0.929086117,0.069433929,0.117737249
Xanthomonas_OG0011929,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0011930,0.049514451,-0.321479323,0.892247929,0.33124025,-0.106981685,0.466401298,0.054402056,-0.375786273,0.882262751,0.314091492,-0.078324597,0.485186276
Xanthomonas_OG0011931,0,-0.35760666,1,0.967574376,0.101386924,0.107752071,0,-0.420522408,1,0.929086117,0.069433929,0.117737249
Xanthomonas_OG0011932,0,-0.35760666,1,0.967574376,0.101386924,0.107752071,0,-0.420522408,1,0.929086117,0.069433929,0.117737249
Xanthomonas_OG0011933,0,-0.35760666,1,0.967574376,0.101386924,0.107752071,0,-0.420522408,1,0.929086117,0.069433929,0.117737249
Xanthomonas_OG0011934,0,-0.35760666,1,0.967574376,0.101386924,0.107752071,0,-0.420522408,1,0.929086117,0.069433929,0.117737249
Xanthomonas_OG0011935,0,-0.35760666,1,0.967574376,0.101386924,0.107752071,0,-0.420522408,1,0.929086117,0.069433929,0.117737249
Xanthomonas_OG0011936,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
