"","orthogroup.id","Estimate","SE","z.value","p.value","rep_seq_id"
"205","OG0007984",-3.05854374,1.787423212,-1.711146929,0.087053993,"SHU166_06100"
"206","OG0007985",-3.05854374,1.787423212,-1.711146929,0.087053993,"SHU166_24210"
"207","OG0007986",-3.05854374,1.787423212,-1.711146929,0.087053993,"SI_42120"
"208","OG0007987",-3.05854374,1.787423212,-1.711146929,0.087053993,"SN8_01430"
"209","OG0007988",-3.05854374,1.787423212,-1.711146929,0.087053993,"SN8_04940"
"210","OG0007989",-3.05854374,1.787423212,-1.711146929,0.087053993,"SN8_15160"
"211","OG0007990",-3.05854374,1.787423212,-1.711146929,0.087053993,"SN8_29230"
"212","OG0007991",-3.05854374,1.787423212,-1.711146929,0.087053993,"XNIF5_19750"
"213","OG0007992",-3.05854374,1.787423212,-1.711146929,0.087053993,"XNVII4461_22630"
"214","OG0007993",-3.05854374,1.787423212,-1.711146929,0.087053993,"XarboCFBP6681_39740"
"215","OG0007994",-3.05854374,1.787423212,-1.711146929,0.087053993,"XarboF11_33840"
"216","OG0007995",-3.05854374,1.787423212,-1.711146929,0.087053993,"01_05290"
"217","OG0007996",-3.05854374,1.787423212,-1.711146929,0.087053993,"01_15580"
"218","OG0007997",-3.05854374,1.787423212,-1.711146929,0.087053993,"01_29600"
"219","OG0007998",-3.05854374,1.787423212,-1.711146929,0.087053993,"01_29670"
"220","OG0007999",-3.05854374,1.787423212,-1.711146929,0.087053993,"1311A_19440"
"221","OG0008000",-3.05854374,1.787423212,-1.711146929,0.087053993,"1311A_36680"
"222","OG0008001",-3.05854374,1.787423212,-1.711146929,0.087053993,"1311A_36710"
"223","OG0008002",-3.05854374,1.787423212,-1.711146929,0.087053993,"1311A_39920"
"224","OG0008003",-3.05854374,1.787423212,-1.711146929,0.087053993,"1314C_20990"
"225","OG0008004",-3.05854374,1.787423212,-1.711146929,0.087053993,"1314C_21010"
"226","OG0008005",-3.05854374,1.787423212,-1.711146929,0.087053993,"1314C_37350"
"227","OG0008006",-3.05854374,1.787423212,-1.711146929,0.087053993,"1314C_37360"
"228","OG0008007",-3.05854374,1.787423212,-1.711146929,0.087053993,"17_22050"
"229","OG0008008",-3.05854374,1.787423212,-1.711146929,0.087053993,"18048_05620"
"230","OG0008009",-3.05854374,1.787423212,-1.711146929,0.087053993,"2768_01650"
