gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0000035,0,-0.406782663,1,1.671268474,0.645316106,0.021317267,0.966012158,0.88732802,0.108140368,0.039065872,-0.219786428,0.913974603
Xanthomonas_OG0000036,0,-0.406782663,1,0,-0.224172847,1,0.536507566,0.268063556,0.290731731,0.126133275,-0.149190519,0.74793994
Xanthomonas_OG0000037,0,-0.406782663,1,0.114821602,-0.164436116,0.767676768,0.575066546,0.32365832,0.266031739,0.112854504,-0.159957199,0.771161778
Xanthomonas_OG0000038,0,-0.406782663,1,0.346475693,-0.043916477,0.450323184,0.211882459,-0.199984508,0.613928141,0.363654349,0.043396093,0.432858202
Xanthomonas_OG0000039,0,-0.406782663,1,0,-0.224172847,1,0.325970987,-0.035490408,0.472094578,0.240436255,-0.056511485,0.57486219
Xanthomonas_OG0000040,0,-0.406782663,1,0.230310881,-0.104352022,0.588422294,0.250964877,-0.143635047,0.561093353,0.313089485,0.002397138,0.486306993
Xanthomonas_OG0000041,0,-0.406782663,1,0,-0.224172847,1,0.259662465,-0.131094768,0.549968145,0.303201652,-0.005620105,0.497506029
Xanthomonas_OG0000042,0,-0.406782663,1,0,-0.224172847,1,0.328779209,-0.031441483,0.469051783,0.237995876,-0.058490191,0.578101538
Xanthomonas_OG0000043,0,-0.406782663,1,0,-0.224172847,1,0.268551782,-0.118278052,0.538825596,0.293551077,-0.013444975,0.50868499
Xanthomonas_OG0000044,7.35E-05,-0.406688914,0.999830716,2.684330432,1.172368578,0.002068567,1.858097752,2.173546882,0.013864437,0.004581215,-0.247747245,0.989506805
Xanthomonas_OG0000045,0.29526653,-0.030298827,0.506679659,0.180983467,-0.13001495,0.659198989,1.277590006,1.336564403,0.052772783,0.017571921,-0.237214132,0.960346768
Xanthomonas_OG0000046,0.000200318,-0.406527245,0.999538857,2.743485276,1.203144293,0.001805156,1.20E-09,-0.505478976,0.999999997,8.290516585,6.470647004,5.12E-09
Xanthomonas_OG0000047,0,-0.406782663,1,0.230310881,-0.104352022,0.588422294,0.34972067,-0.001247853,0.446970983,0.222074147,-0.071399832,0.599688682
Xanthomonas_OG0000048,0,-0.406782663,1,0,-0.224172847,1,0.282244121,-0.098536286,0.522102627,0.279084358,-0.025174867,0.525915102
Xanthomonas_OG0000049,0,-0.406782663,1,0.346475693,-0.043916477,0.450323184,0.189884441,-0.231701494,0.645826051,0.399286217,0.07228709,0.398762016
Xanthomonas_OG0000050,0.385548158,0.08481606,0.411577706,0.023681555,-0.211852355,0.946931241,0.311275444,-0.056678605,0.488342538,0.252289024,-0.046901034,0.559385205
Xanthomonas_OG0000051,0,-0.406782663,1,1.547111546,0.580722607,0.028371902,0.023922953,-0.4709866,0.946405046,1.181703354,0.706685811,0.065810721
