gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0001762,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001763,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001764,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001765,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0001766,0.320878189,-0.123483607,0.47766323,0,-0.215446825,1,0.373872722,-0.0812045,0.422792503,0.205797646,-0.166012541,0.622590306
Xanthomonas_OG0001767,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001768,0.137853917,-0.257024006,0.728024647,0.111990107,-0.178775489,0.772698187,0.351597331,-0.101799492,0.445043712,0.221129612,-0.157822319,0.600994348
Xanthomonas_OG0001769,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001770,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001771,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001772,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001773,0,-0.35760666,1,0,-0.215446825,1,0.349907768,-0.103361598,0.446778465,0.222470215,-0.157106179,0.599142028
Xanthomonas_OG0001774,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001775,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001776,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001777,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001778,0.137853917,-0.257024006,0.728024647,0.111990107,-0.178775489,0.772698187,0.351597331,-0.101799492,0.445043712,0.221129612,-0.157822319,0.600994348
Xanthomonas_OG0001779,0.320878189,-0.123483607,0.47766323,0,-0.215446825,1,0.373872722,-0.0812045,0.422792503,0.205797646,-0.166012541,0.622590306
Xanthomonas_OG0001780,0.137853917,-0.257024006,0.728024647,0.111990107,-0.178775489,0.772698187,0.351597331,-0.101799492,0.445043712,0.221129612,-0.157822319,0.600994348
Xanthomonas_OG0001781,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001782,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001783,0.320878189,-0.123483607,0.47766323,0,-0.215446825,1,0.373872722,-0.0812045,0.422792503,0.205797646,-0.166012541,0.622590306
Xanthomonas_OG0001784,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001785,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001786,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001787,0,-0.35760666,1,0.850277035,0.062977726,0.141163678,0.288579214,-0.160063681,0.514541947,0.273717287,-0.129730376,0.532454759
Xanthomonas_OG0001788,0.032935538,-0.333575832,0.926967403,0.461480406,-0.064334341,0.34555692,0.309602172,-0.140626642,0.490227679,0.254376684,-0.140061981,0.556702685
Xanthomonas_OG0001789,0.320878189,-0.123483607,0.47766323,0,-0.215446825,1,0.373872722,-0.0812045,0.422792503,0.205797646,-0.166012541,0.622590306
Xanthomonas_OG0001790,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001791,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001792,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001793,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0001794,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001795,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001796,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001797,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0001798,0,-0.35760666,1,0.850277035,0.062977726,0.141163678,0.288579214,-0.160063681,0.514541947,0.273717287,-0.129730376,0.532454759
Xanthomonas_OG0001799,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001800,0.132017734,-0.261282272,0.737874098,0.260210692,-0.130240425,0.549274337,0.333323474,-0.118694815,0.464169421,0.234590009,-0.150631875,0.582653006
Xanthomonas_OG0001801,0.320878189,-0.123483607,0.47766323,0,-0.215446825,1,0.373872722,-0.0812045,0.422792503,0.205797646,-0.166012541,0.622590306
Xanthomonas_OG0001802,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001803,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0001804,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0001805,0,-0.35760666,1,1.136483255,0.156696402,0.073032597,0.269794181,-0.177431618,0.537286365,0.292623749,-0.119630684,0.509772321
Xanthomonas_OG0001806,0.320878189,-0.123483607,0.47766323,0,-0.215446825,1,0.373872722,-0.0812045,0.422792503,0.205797646,-0.166012541,0.622590306
Xanthomonas_OG0001807,0.494205381,0.002981491,0.320475342,0.062210509,-0.195075896,0.866541748,0.407293334,-0.050305055,0.391477374,0.184728783,-0.17726737,0.65353856
Xanthomonas_OG0001808,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001809,0.320878189,-0.123483607,0.47766323,0,-0.215446825,1,0.373872722,-0.0812045,0.422792503,0.205797646,-0.166012541,0.622590306
Xanthomonas_OG0001810,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
